NodeLabel,X_mm,Y_mm,Z_mm
433,-10.2,0.0,0.61538464
434,-10.2,0.5714286,0.61538464
435,-10.2,1.1428572,0.61538464
436,-10.2,1.7142857,0.61538464
437,-10.2,2.2857144,0.61538464
438,-10.2,2.857143,0.61538464
439,-10.2,3.4285715,0.61538464
440,-10.2,4.0,0.61538464
441,-10.2,0.0,0.0
442,-10.2,0.5714286,0.0
443,-10.2,1.1428572,0.0
444,-10.2,1.7142857,0.0
445,-10.2,2.2857144,0.0
446,-10.2,2.857143,0.0
447,-10.2,3.4285715,0.0
448,-10.2,4.0,0.0
449,-9.6,0.0,8.0
450,-9.6,0.5714286,8.0
451,-9.6,1.1428572,8.0
452,-9.6,1.7142857,8.0
453,-9.6,2.2857144,8.0
454,-9.6,2.857143,8.0
455,-9.6,3.4285715,8.0
456,-9.6,4.0,8.0
457,-9.6,0.0,7.3846154
458,-9.6,0.5714286,7.3846154
459,-9.6,1.1428572,7.3846154
460,-9.6,1.7142857,7.3846154
461,-9.6,2.2857144,7.3846154
462,-9.6,2.857143,7.3846154
463,-9.6,3.4285715,7.3846154
464,-9.6,4.0,7.3846154
465,-9.6,0.0,6.769231
466,-9.6,0.5714286,6.769231
467,-9.6,1.1428572,6.769231
468,-9.6,1.7142857,6.769231
469,-9.6,2.2857144,6.769231
470,-9.6,2.857143,6.769231
471,-9.6,3.4285715,6.769231
472,-9.6,4.0,6.769231
473,-9.6,0.0,6.1538463
474,-9.6,0.5714286,6.1538463
475,-9.6,1.1428572,6.1538463
476,-9.6,1.7142857,6.1538463
477,-9.6,2.2857144,6.1538463
478,-9.6,2.857143,6.1538463
479,-9.6,3.4285715,6.1538463
480,-9.6,4.0,6.1538463
481,-9.6,0.0,5.5384617
482,-9.6,0.5714286,5.5384617
483,-9.6,1.1428572,5.5384617
484,-9.6,1.7142857,5.5384617
485,-9.6,2.2857144,5.5384617
486,-9.6,2.857143,5.5384617
487,-9.6,3.4285715,5.5384617
488,-9.6,4.0,5.5384617
489,-9.6,0.0,4.923077
490,-9.6,0.5714286,4.923077
491,-9.6,1.1428572,4.923077
492,-9.6,1.7142857,4.923077
493,-9.6,2.2857144,4.923077
494,-9.6,2.857143,4.923077
495,-9.6,3.4285715,4.923077
496,-9.6,4.0,4.923077
497,-9.6,0.0,4.3076925
498,-9.6,0.5714286,4.3076925
499,-9.6,1.1428572,4.3076925
500,-9.6,1.7142857,4.3076925
501,-9.6,2.2857144,4.3076925
502,-9.6,2.857143,4.3076925
503,-9.6,3.4285715,4.3076925
504,-9.6,4.0,4.3076925
505,-9.6,0.0,3.6923077
506,-9.6,0.5714286,3.6923077
507,-9.6,1.1428572,3.6923077
508,-9.6,1.7142857,3.6923077
509,-9.6,2.2857144,3.6923077
510,-9.6,2.857143,3.6923077
511,-9.6,3.4285715,3.6923077
512,-9.6,4.0,3.6923077
513,-9.6,0.0,3.0769231
514,-9.6,0.5714286,3.0769231
515,-9.6,1.1428572,3.0769231
516,-9.6,1.7142857,3.0769231
517,-9.6,2.2857144,3.0769231
518,-9.6,2.857143,3.0769231
519,-9.6,3.4285715,3.0769231
520,-9.6,4.0,3.0769231
521,-9.6,0.0,2.4615386
522,-9.6,0.5714286,2.4615386
523,-9.6,1.1428572,2.4615386
524,-9.6,1.7142857,2.4615386
525,-9.6,2.2857144,2.4615386
526,-9.6,2.857143,2.4615386
527,-9.6,3.4285715,2.4615386
528,-9.6,4.0,2.4615386
529,-9.6,0.0,1.8461539
530,-9.6,0.5714286,1.8461539
531,-9.6,1.1428572,1.8461539
532,-9.6,1.7142857,1.8461539
533,-9.6,2.2857144,1.8461539
534,-9.6,2.857143,1.8461539
535,-9.6,3.4285715,1.8461539
536,-9.6,4.0,1.8461539
537,-9.6,0.0,1.2307693
538,-9.6,0.5714286,1.2307693
539,-9.6,1.1428572,1.2307693
540,-9.6,1.7142857,1.2307693
541,-9.6,2.2857144,1.2307693
542,-9.6,2.857143,1.2307693
543,-9.6,3.4285715,1.2307693
544,-9.6,4.0,1.2307693
545,-9.6,0.0,0.61538464
546,-9.6,0.5714286,0.61538464
547,-9.6,1.1428572,0.61538464
548,-9.6,1.7142857,0.61538464
549,-9.6,2.2857144,0.61538464
550,-9.6,2.857143,0.61538464
551,-9.6,3.4285715,0.61538464
552,-9.6,4.0,0.61538464
553,-9.6,0.0,0.0
554,-9.6,0.5714286,0.0
555,-9.6,1.1428572,0.0
556,-9.6,1.7142857,0.0
557,-9.6,2.2857144,0.0
558,-9.6,2.857143,0.0
559,-9.6,3.4285715,0.0
560,-9.6,4.0,0.0
561,-9.0,0.0,8.0
562,-9.0,0.5714286,8.0
563,-9.0,1.1428572,8.0
564,-9.0,1.7142857,8.0
565,-9.0,2.2857144,8.0
566,-9.0,2.857143,8.0
567,-9.0,3.4285715,8.0
568,-9.0,4.0,8.0
569,-9.0,0.0,7.3846154
570,-9.0,0.5714286,7.3846154
571,-9.0,1.1428572,7.3846154
572,-9.0,1.7142857,7.3846154
573,-9.0,2.2857144,7.3846154
574,-9.0,2.857143,7.3846154
575,-9.0,3.4285715,7.3846154
576,-9.0,4.0,7.3846154
577,-9.0,0.0,6.769231
578,-9.0,0.5714286,6.769231
579,-9.0,1.1428572,6.769231
580,-9.0,1.7142857,6.769231
581,-9.0,2.2857144,6.769231
582,-9.0,2.857143,6.769231
583,-9.0,3.4285715,6.769231
584,-9.0,4.0,6.769231
585,-9.0,0.0,6.1538463
586,-9.0,0.5714286,6.1538463
587,-9.0,1.1428572,6.1538463
588,-9.0,1.7142857,6.1538463
589,-9.0,2.2857144,6.1538463
590,-9.0,2.857143,6.1538463
591,-9.0,3.4285715,6.1538463
592,-9.0,4.0,6.1538463
593,-9.0,0.0,5.5384617
594,-9.0,0.5714286,5.5384617
595,-9.0,1.1428572,5.5384617
596,-9.0,1.7142857,5.5384617
597,-9.0,2.2857144,5.5384617
598,-9.0,2.857143,5.5384617
599,-9.0,3.4285715,5.5384617
600,-9.0,4.0,5.5384617
601,-9.0,0.0,4.923077
602,-9.0,0.5714286,4.923077
603,-9.0,1.1428572,4.923077
604,-9.0,1.7142857,4.923077
605,-9.0,2.2857144,4.923077
606,-9.0,2.857143,4.923077
607,-9.0,3.4285715,4.923077
608,-9.0,4.0,4.923077
609,-9.0,0.0,4.3076925
610,-9.0,0.5714286,4.3076925
611,-9.0,1.1428572,4.3076925
612,-9.0,1.7142857,4.3076925
613,-9.0,2.2857144,4.3076925
614,-9.0,2.857143,4.3076925
615,-9.0,3.4285715,4.3076925
616,-9.0,4.0,4.3076925
617,-9.0,0.0,3.6923077
618,-9.0,0.5714286,3.6923077
619,-9.0,1.1428572,3.6923077
620,-9.0,1.7142857,3.6923077
621,-9.0,2.2857144,3.6923077
622,-9.0,2.857143,3.6923077
623,-9.0,3.4285715,3.6923077
624,-9.0,4.0,3.6923077
625,-9.0,0.0,3.0769231
626,-9.0,0.5714286,3.0769231
627,-9.0,1.1428572,3.0769231
628,-9.0,1.7142857,3.0769231
629,-9.0,2.2857144,3.0769231
630,-9.0,2.857143,3.0769231
631,-9.0,3.4285715,3.0769231
632,-9.0,4.0,3.0769231
633,-9.0,0.0,2.4615386
634,-9.0,0.5714286,2.4615386
635,-9.0,1.1428572,2.4615386
636,-9.0,1.7142857,2.4615386
637,-9.0,2.2857144,2.4615386
638,-9.0,2.857143,2.4615386
639,-9.0,3.4285715,2.4615386
640,-9.0,4.0,2.4615386
641,-9.0,0.0,1.8461539
642,-9.0,0.5714286,1.8461539
643,-9.0,1.1428572,1.8461539
644,-9.0,1.7142857,1.8461539
645,-9.0,2.2857144,1.8461539
646,-9.0,2.857143,1.8461539
647,-9.0,3.4285715,1.8461539
648,-9.0,4.0,1.8461539
649,-9.0,0.0,1.2307693
650,-9.0,0.5714286,1.2307693
651,-9.0,1.1428572,1.2307693
652,-9.0,1.7142857,1.2307693
653,-9.0,2.2857144,1.2307693
654,-9.0,2.857143,1.2307693
655,-9.0,3.4285715,1.2307693
656,-9.0,4.0,1.2307693
657,-9.0,0.0,0.61538464
658,-9.0,0.5714286,0.61538464
659,-9.0,1.1428572,0.61538464
660,-9.0,1.7142857,0.61538464
661,-9.0,2.2857144,0.61538464
662,-9.0,2.857143,0.61538464
663,-9.0,3.4285715,0.61538464
664,-9.0,4.0,0.61538464
665,-9.0,0.0,0.0
666,-9.0,0.5714286,0.0
667,-9.0,1.1428572,0.0
668,-9.0,1.7142857,0.0
669,-9.0,2.2857144,0.0
670,-9.0,2.857143,0.0
671,-9.0,3.4285715,0.0
