ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
174,1,-2.3597102e-05,8.026027e-05,-1.4481747e-06,0.0004091092,-1.2864673e-05,-7.358387e-06
175,1,4.5765035e-05,-2.1132824e-05,-1.2543132e-05,0.0001464054,2.3594364e-06,-3.0728704e-06
176,1,-2.2363784e-06,7.636523e-05,5.590929e-06,-0.00017570893,-1.330467e-05,-9.740239e-06
177,1,1.2141901e-06,-6.292611e-05,3.934845e-06,7.536265e-05,4.3845444e-05,1.0458674e-06
178,1,-1.0915859e-05,6.682635e-05,-5.126862e-06,-0.00046745106,1.5386242e-06,-1.0581423e-05
179,1,-1.37559255e-05,2.7019963e-05,-2.2761612e-06,0.0002505304,-1.1444971e-05,-7.1020613e-06
180,1,-2.9436458e-05,2.1097823e-05,-4.3090645e-06,-0.00017297987,1.751226e-05,-3.9878487e-06
181,1,-2.8846373e-05,8.570199e-05,-1.0087601e-05,0.00047104197,-1.5595626e-05,-6.447552e-06
182,1,3.9156515e-05,-1.2284184e-05,-2.379057e-05,0.00018093528,4.617624e-05,2.5901106e-06
183,1,5.3933334e-05,-0.0001869411,2.8894801e-06,5.2775846e-05,-4.3622607e-05,-3.310033e-06
184,1,-4.2943284e-05,0.00012771424,2.7200398e-05,-0.00049343175,7.317661e-05,2.6991389e-05
185,1,1.9729698e-05,-0.00015007124,4.6026966e-05,0.00044670366,4.9652277e-05,-5.571779e-07
186,1,6.9778434e-06,-7.702481e-05,3.7830956e-05,-0.0006407203,3.1305924e-05,1.8562757e-06
187,1,-7.7221914e-05,4.6765585e-05,3.6975485e-05,0.0003830019,5.578699e-05,2.833485e-06
188,1,-2.566696e-05,-7.483838e-05,2.1238735e-05,9.110788e-05,-1.4609112e-06,-1.33137955e-05
189,1,6.881014e-05,3.7441154e-05,-9.20338e-06,0.00036170305,1.1886442e-05,3.6727065e-06
190,1,9.915749e-05,-0.00024147959,4.8748636e-05,7.332423e-05,0.00021414644,2.4411485e-05
191,1,-9.681559e-06,0.000111385496,7.357642e-05,-0.0005535436,0.00016699705,1.5230957e-05
192,1,4.4682987e-05,-0.00017563647,6.9668546e-05,0.0004544398,0.00017255027,1.2948328e-07
193,1,2.7696116e-05,-0.00010376549,6.951691e-05,-0.00072913896,0.00015740465,-7.460122e-06
194,1,-6.548449e-05,3.4133092e-05,6.246166e-05,0.00033777888,0.000107882915,-2.5341293e-05
195,1,-1.2856963e-05,-9.4761264e-05,3.6335274e-05,-3.056756e-07,7.3421565e-05,-2.4534638e-05
196,1,7.652484e-05,3.510976e-05,-5.4256725e-06,0.0003192986,2.886284e-06,-1.1098558e-05
197,1,5.7200406e-05,-0.00025047103,0.00014487746,5.133883e-05,0.00024421557,-6.7490396e-06
198,1,-4.0451978e-05,9.6083284e-05,0.00012548162,-0.00055911083,0.00025692006,-3.410963e-06
199,1,1.7550028e-05,-0.00018536283,0.00012528876,0.00044349217,0.00023518928,-1.5632873e-05
200,1,3.4298453e-06,-0.000115430346,0.00011439188,-0.0007430666,0.00018966118,-3.9961593e-05
201,1,-8.013062e-05,3.4344255e-05,8.9762616e-05,0.00034206596,0.0001429756,-4.50732e-05
202,1,-2.0163792e-05,-0.000105511084,6.0823862e-05,-1.096661e-05,9.8600074e-05,-3.949053e-05
203,1,6.958944e-05,3.030949e-05,2.7155535e-05,0.0003223946,0.00010147088,-1.6193426e-05
204,1,4.257972e-05,-0.00026049186,0.00017396674,6.752587e-05,0.00021600055,-1.5214914e-07
205,1,-5.8567002e-05,8.6653235e-05,0.00017192017,-0.00056001387,0.00020203428,-1.873881e-05
206,1,4.5167962e-08,-0.00018686207,0.00015628157,0.00044830592,0.00017692996,-3.822817e-05
207,1,-5.87628e-06,-0.00011537682,0.00013424693,-0.00071628735,0.00014945753,-4.6853103e-05
