ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
72,1,-1.617759e-05,8.2791295e-05,-1.9873265e-05,-0.00015502327,-4.8507118e-05,-1.309811e-05
73,1,-3.3567756e-06,8.313994e-05,-2.2641027e-05,6.00258e-05,-4.8100337e-05,-1.598507e-05
74,1,-8.450279e-06,0.00013207097,-2.7229358e-05,-0.00018158702,-3.9564402e-05,-1.8873588e-05
75,1,-3.8801176e-05,0.00014849166,-3.307131e-05,0.00014015606,-3.111088e-05,-2.4887693e-05
76,1,1.1926489e-05,6.8274014e-05,-3.7936945e-05,7.114027e-05,-1.9896164e-05,-2.6295786e-05
77,1,4.0429427e-06,4.0960633e-05,-4.8006907e-05,6.265689e-05,-2.1527452e-05,-1.17539485e-05
78,1,2.3297274e-05,-7.069403e-06,-2.835943e-05,-1.8409655e-05,-2.8796617e-06,-1.1850645e-05
79,1,-1.8623967e-05,9.297126e-05,-3.630816e-05,-0.00015465175,6.3668163e-06,-1.2056081e-05
80,1,-2.9412232e-07,9.626502e-05,-4.851542e-05,6.340434e-05,-7.936213e-06,-1.594363e-05
81,1,-2.9869618e-06,0.00014761832,-5.373222e-05,-0.00017206701,-1.0425314e-05,-3.138065e-05
82,1,-4.033142e-05,0.0001585206,-5.0650586e-05,0.00013758491,-5.9889476e-06,-4.3235224e-05
83,1,1.6447982e-05,7.2755516e-05,-4.5736306e-05,7.228375e-05,-2.5665618e-06,-4.2823976e-05
84,1,-9.349171e-07,3.8932958e-05,-4.01208e-05,6.087239e-05,1.9333713e-05,-1.9344305e-05
85,1,8.439182e-06,-7.2284246e-07,-1.7463208e-05,-3.0508987e-05,4.524851e-05,-2.405803e-06
86,1,-2.0608519e-05,9.6580814e-05,-3.12628e-05,-0.0001509148,-1.3724128e-06,-6.9050625e-06
87,1,-6.461184e-06,0.000106998436,-5.1094106e-05,5.831687e-05,1.7471119e-05,-1.710659e-06
88,1,-9.067014e-06,0.00015703909,-6.18631e-05,-0.00014667845,8.117051e-06,-1.8868579e-05
89,1,-3.856306e-05,0.00016399867,-5.552599e-05,0.00016004367,-4.407707e-06,-2.7814789e-05
90,1,9.209761e-06,7.797936e-05,-4.2376916e-05,0.00010647334,1.5703385e-05,-2.5129539e-05
91,1,-1.2003112e-06,2.9635705e-05,-1.696439e-05,7.8528254e-05,7.890607e-06,-1.3971462e-05
92,1,7.0674866e-07,7.667834e-05,3.3118195e-06,-0.0001815793,1.0663172e-05,9.967673e-06
93,1,-1.903079e-07,-5.8252062e-05,2.220256e-06,2.829738e-05,-4.368614e-05,-3.3942877e-07
94,1,-1.901104e-05,7.5403776e-05,-4.9441605e-06,-0.00041927228,1.555356e-06,1.1410715e-05
95,1,-1.5210777e-05,2.3487635e-05,-2.0312448e-06,0.00027260015,1.2055986e-05,6.3432763e-06
96,1,-2.6672624e-05,2.5023484e-05,-5.072774e-06,-0.00013396493,-1.5534493e-05,3.7094292e-06
97,1,-2.6841612e-05,8.243649e-05,-1.0194464e-05,0.0004503168,1.6374412e-05,7.1133e-06
98,1,3.902918e-05,-1.2491371e-05,-2.3120803e-05,0.00015789074,-4.619432e-05,-2.6143093e-06
99,1,1.8748207e-05,7.033812e-05,2.072103e-05,-0.00017898332,-1.5325562e-05,2.4058266e-07
100,1,2.3094077e-05,-8.3571394e-05,1.6028867e-05,5.8932983e-05,5.8007787e-05,1.5564203e-05
